BGiftPrice,Role,Gender,Apprec-7,Grateful-7,AppLevel
520,Receiver,Female,3,3,3.0
53,Giver,Male,3,3,3.0
230,Receiver,Male,3,3,3.0
348,Receiver,Female,4,2,3.0
174,Giver,Female,3,3,3.0
12,Receiver,Female,3,3,3.0
139,Giver,Male,3,3,3.0
2,Receiver,Female,3,3,3.0
191,Receiver,Male,3,3,3.0
50,Giver,Male,3,4,3.5
58,Receiver,Male,3,4,3.5
136,Giver,Male,3,4,3.5
210,Giver,Male,2,5,3.5
187,Receiver,Male,3,4,3.5
5,Receiver,Female,3,4,3.5
108,Giver,Male,2,5,3.5
88,Receiver,Female,3,4,3.5
69,Giver,Female,3,4,3.5
104,Receiver,Male,3,4,3.5
221,Giver,Female,2,5,3.5
143,Receiver,Male,3,4,3.5
7,Receiver,Male,3,4,3.5
52,Giver,Male,5,2,3.5
79,Receiver,Female,5,2,3.5
147,Receiver,Female,4,3,3.5
253,Receiver,Male,4,3,3.5
150,Receiver,Female,6,1,3.5
462,Receiver,Male,4,3,3.5
125,Giver,Female,4,3,3.5
49,Receiver,Female,4,3,3.5
44,Giver,Female,4,3,3.5
147,Giver,Female,4,3,3.5
106,Receiver,Female,4,3,3.5
226,Giver,Female,4,3,3.5
136,Receiver,Male,5,3,4.0
5,Receiver,Male,4,4,4.0
58,Receiver,Female,4,4,4.0
60,Receiver,Male,4,4,4.0
8,Receiver,Female,5,3,4.0
144,Receiver,Female,4,4,4.0
93,Receiver,Female,4,4,4.0
177,Receiver,Female,3,5,4.0
234,Giver,Male,6,2,4.0
200,Giver,Female,4,4,4.0
39,Receiver,Female,4,4,4.0
36,Receiver,Male,5,3,4.0
80,Giver,Male,4,4,4.0
96,Receiver,Female,4,4,4.0
168,Giver,Female,4,4,4.0
92,Receiver,Female,4,4,4.0
13,Receiver,Female,4,4,4.0
1,Receiver,Female,3,5,4.0
156,Receiver,Female,4,4,4.0
320,Receiver,Female,4,4,4.0
270,Giver,Female,4,5,4.5
172,Giver,Female,4,5,4.5
268,Giver,Female,3,6,4.5
97,Receiver,Male,4,5,4.5
528,Receiver,Female,4,5,4.5
163,Giver,Female,4,5,4.5
65,Receiver,Female,4,5,4.5
74,Receiver,Female,6,3,4.5
263,Giver,Female,5,4,4.5
237,Giver,Female,7,2,4.5
216,Receiver,Female,5,4,4.5
172,Receiver,Female,5,4,4.5
548,Receiver,Female,5,4,4.5
141,Receiver,Female,5,4,4.5
105,Receiver,Female,6,4,5.0
392,Receiver,Female,5,5,5.0
187,Giver,Female,5,5,5.0
222,Giver,Male,4,6,5.0
352,Giver,Female,5,5,5.0
10,Receiver,Female,5,5,5.0
10,Receiver,Male,5,5,5.0
134,Receiver,Male,7,3,5.0
331,Giver,Male,5,5,5.0
339,Giver,Female,5,5,5.0
2,Receiver,Male,6,4,5.0
302,Giver,Female,5,5,5.0
49,Receiver,Female,5,5,5.0
129,Receiver,Female,5,5,5.0
296,Giver,Male,5,6,5.5
256,Giver,Female,4,7,5.5
14,Receiver,Female,5,6,5.5
431,Giver,Female,6,5,5.5
423,Receiver,Female,6,5,5.5
187,Receiver,Male,6,5,5.5
99,Receiver,Female,6,6,6.0
374,Giver,Male,7,5,6.0
37,Receiver,Female,6,6,6.0
290,Giver,Female,6,6,6.0
106,Receiver,Female,7,5,6.0
64,Receiver,Female,6,6,6.0
46,Receiver,Female,6,7,6.5
309,Giver,Male,6,7,6.5
156,Receiver,Male,6,7,6.5
318,Giver,Female,7,6,6.5
138,Receiver,Female,7,6,6.5
33,Receiver,Male,7,7,7.0
170,Receiver,Male,7,7,7.0
102,Receiver,Male,7,7,7.0
